================ Training Loss (Sat Jun 24 15:47:30 2023) ================
(epoch: 3, iters: 224, time: 0.109, data: 13.479) D_A: 0.562 G_A: 0.029 cycle_A: 0.141 idt_A: 0.000 D_B: 0.008 G_B: 1.126 cycle_B: 3.977 idt_B: 0.000 
(epoch: 6, iters: 160, time: 0.105, data: 0.001) D_A: 0.535 G_A: 0.020 cycle_A: 0.126 idt_A: 0.000 D_B: 0.008 G_B: 1.090 cycle_B: 2.313 idt_B: 0.000 
(epoch: 9, iters: 96, time: 0.108, data: 0.000) D_A: 0.515 G_A: 0.013 cycle_A: 0.101 idt_A: 0.000 D_B: 0.008 G_B: 1.054 cycle_B: 1.882 idt_B: 0.000 
(epoch: 12, iters: 32, time: 0.105, data: 0.001) D_A: 0.491 G_A: 0.011 cycle_A: 0.090 idt_A: 0.000 D_B: 0.008 G_B: 1.050 cycle_B: 1.738 idt_B: 0.000 
(epoch: 14, iters: 256, time: 0.100, data: 0.001) D_A: 0.498 G_A: 0.011 cycle_A: 0.056 idt_A: 0.000 D_B: 0.008 G_B: 0.984 cycle_B: 1.646 idt_B: 0.000 
(epoch: 17, iters: 192, time: 0.101, data: 0.000) D_A: 0.478 G_A: 0.010 cycle_A: 0.067 idt_A: 0.000 D_B: 0.008 G_B: 0.978 cycle_B: 1.608 idt_B: 0.000 
(epoch: 20, iters: 128, time: 0.102, data: 0.001) D_A: 0.446 G_A: 0.010 cycle_A: 0.051 idt_A: 0.000 D_B: 0.008 G_B: 0.944 cycle_B: 1.564 idt_B: 0.000 
(epoch: 23, iters: 64, time: 0.109, data: 0.000) D_A: 0.442 G_A: 0.010 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.903 cycle_B: 1.597 idt_B: 0.000 
(epoch: 25, iters: 288, time: 0.086, data: 0.001) D_A: 0.436 G_A: 0.010 cycle_A: 0.051 idt_A: 0.000 D_B: 0.008 G_B: 0.926 cycle_B: 1.633 idt_B: 0.000 
(epoch: 28, iters: 224, time: 0.110, data: 16.207) D_A: 0.417 G_A: 0.009 cycle_A: 0.044 idt_A: 0.000 D_B: 0.009 G_B: 0.866 cycle_B: 1.649 idt_B: 0.000 
(epoch: 31, iters: 160, time: 0.110, data: 0.002) D_A: 0.422 G_A: 0.010 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.848 cycle_B: 1.586 idt_B: 0.000 
(epoch: 34, iters: 96, time: 0.108, data: 0.000) D_A: 0.415 G_A: 0.010 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.820 cycle_B: 1.499 idt_B: 0.000 
(epoch: 37, iters: 32, time: 0.110, data: 0.001) D_A: 0.392 G_A: 0.010 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.800 cycle_B: 1.483 idt_B: 0.000 
(epoch: 39, iters: 256, time: 0.104, data: 0.000) D_A: 0.378 G_A: 0.009 cycle_A: 0.043 idt_A: 0.000 D_B: 0.008 G_B: 0.794 cycle_B: 1.444 idt_B: 0.000 
(epoch: 42, iters: 192, time: 0.112, data: 0.000) D_A: 0.373 G_A: 0.010 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.757 cycle_B: 1.410 idt_B: 0.000 
(epoch: 45, iters: 128, time: 0.113, data: 0.000) D_A: 0.374 G_A: 0.010 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.730 cycle_B: 1.427 idt_B: 0.000 
(epoch: 48, iters: 64, time: 0.100, data: 0.000) D_A: 0.365 G_A: 0.010 cycle_A: 0.044 idt_A: 0.000 D_B: 0.009 G_B: 0.698 cycle_B: 1.393 idt_B: 0.000 
(epoch: 50, iters: 288, time: 0.078, data: 0.000) D_A: 0.353 G_A: 0.010 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.745 cycle_B: 1.382 idt_B: 0.000 
(epoch: 53, iters: 224, time: 0.102, data: 13.062) D_A: 0.347 G_A: 0.010 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.685 cycle_B: 1.320 idt_B: 0.000 
(epoch: 56, iters: 160, time: 0.101, data: 0.000) D_A: 0.345 G_A: 0.010 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.639 cycle_B: 1.345 idt_B: 0.000 
(epoch: 59, iters: 96, time: 0.101, data: 0.001) D_A: 0.326 G_A: 0.010 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.681 cycle_B: 1.381 idt_B: 0.000 
(epoch: 62, iters: 32, time: 0.105, data: 0.001) D_A: 0.333 G_A: 0.010 cycle_A: 0.034 idt_A: 0.000 D_B: 0.008 G_B: 0.666 cycle_B: 1.353 idt_B: 0.000 
(epoch: 64, iters: 256, time: 0.101, data: 0.001) D_A: 0.331 G_A: 0.010 cycle_A: 0.029 idt_A: 0.000 D_B: 0.008 G_B: 0.609 cycle_B: 1.282 idt_B: 0.000 
(epoch: 67, iters: 192, time: 0.101, data: 0.000) D_A: 0.320 G_A: 0.010 cycle_A: 0.027 idt_A: 0.000 D_B: 0.008 G_B: 0.644 cycle_B: 1.316 idt_B: 0.000 
(epoch: 70, iters: 128, time: 0.103, data: 0.001) D_A: 0.313 G_A: 0.010 cycle_A: 0.029 idt_A: 0.000 D_B: 0.008 G_B: 0.582 cycle_B: 1.338 idt_B: 0.000 
(epoch: 73, iters: 64, time: 0.101, data: 0.001) D_A: 0.302 G_A: 0.010 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.661 cycle_B: 1.282 idt_B: 0.000 
(epoch: 75, iters: 288, time: 0.078, data: 0.000) D_A: 0.321 G_A: 0.010 cycle_A: 0.024 idt_A: 0.000 D_B: 0.008 G_B: 0.568 cycle_B: 1.265 idt_B: 0.000 
(epoch: 78, iters: 224, time: 0.101, data: 12.854) D_A: 0.303 G_A: 0.010 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.560 cycle_B: 1.274 idt_B: 0.000 
(epoch: 81, iters: 160, time: 0.101, data: 0.002) D_A: 0.325 G_A: 0.010 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.545 cycle_B: 1.229 idt_B: 0.000 
(epoch: 84, iters: 96, time: 0.101, data: 0.001) D_A: 0.312 G_A: 0.010 cycle_A: 0.023 idt_A: 0.000 D_B: 0.008 G_B: 0.530 cycle_B: 1.231 idt_B: 0.000 
(epoch: 87, iters: 32, time: 0.107, data: 0.001) D_A: 0.302 G_A: 0.010 cycle_A: 0.016 idt_A: 0.000 D_B: 0.008 G_B: 0.505 cycle_B: 1.207 idt_B: 0.000 
(epoch: 89, iters: 256, time: 0.101, data: 0.000) D_A: 0.304 G_A: 0.010 cycle_A: 0.019 idt_A: 0.000 D_B: 0.008 G_B: 0.499 cycle_B: 1.260 idt_B: 0.000 
(epoch: 92, iters: 192, time: 0.102, data: 0.000) D_A: 0.303 G_A: 0.010 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.484 cycle_B: 1.196 idt_B: 0.000 
(epoch: 95, iters: 128, time: 0.104, data: 0.000) D_A: 0.299 G_A: 0.010 cycle_A: 0.029 idt_A: 0.000 D_B: 0.008 G_B: 0.475 cycle_B: 1.207 idt_B: 0.000 
(epoch: 98, iters: 64, time: 0.100, data: 0.000) D_A: 0.287 G_A: 0.010 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.468 cycle_B: 1.201 idt_B: 0.000 
(epoch: 100, iters: 288, time: 0.080, data: 0.000) D_A: 0.296 G_A: 0.010 cycle_A: 0.017 idt_A: 0.000 D_B: 0.008 G_B: 0.463 cycle_B: 1.214 idt_B: 0.000 
(epoch: 103, iters: 224, time: 0.101, data: 13.203) D_A: 0.283 G_A: 0.009 cycle_A: 0.021 idt_A: 0.000 D_B: 0.008 G_B: 0.458 cycle_B: 1.211 idt_B: 0.000 
(epoch: 106, iters: 160, time: 0.101, data: 0.001) D_A: 0.286 G_A: 0.011 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.474 cycle_B: 1.283 idt_B: 0.000 
(epoch: 109, iters: 96, time: 0.101, data: 0.001) D_A: 0.278 G_A: 0.010 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.443 cycle_B: 1.190 idt_B: 0.000 
(epoch: 112, iters: 32, time: 0.108, data: 0.001) D_A: 0.289 G_A: 0.010 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.427 cycle_B: 1.156 idt_B: 0.000 
(epoch: 114, iters: 256, time: 0.101, data: 0.000) D_A: 0.281 G_A: 0.010 cycle_A: 0.019 idt_A: 0.000 D_B: 0.008 G_B: 0.421 cycle_B: 1.200 idt_B: 0.000 
(epoch: 117, iters: 192, time: 0.101, data: 0.001) D_A: 0.286 G_A: 0.011 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.413 cycle_B: 1.143 idt_B: 0.000 
(epoch: 120, iters: 128, time: 0.104, data: 0.001) D_A: 0.286 G_A: 0.010 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.415 cycle_B: 1.155 idt_B: 0.000 
