-0.41731,0.44959,-0.35005
0.47979,-0.15185,0.00166
-0.011355,1.0475,-0.48374
-0.8169,1.2547,-0.072677
0.92709,-0.23334,-0.50398
-0.72927,0.59578,0.49306
-0.22618,-0.97294,0.50702
-0.15982,-1.0861,-0.48492
0.49515,1.158,-0.42857
-0.87666,0.60295,-0.5013
-0.51311,0.41914,0.37441
-0.48533,-0.094893,-0.041013
0.50963,0.10428,0.1555
1.4306,-0.37372,0.14882
-0.95117,-1.1957,-0.010981
0.8503,1.1879,-0.21891
-0.80654,-0.46781,0.4936
0.051397,0.63856,0.36541
0.54519,-0.29191,-0.31988
-0.85284,-1.2173,-0.078147
0.53757,0.044697,-0.22405
-0.50194,0.09904,-0.13209
0.5072,0.023108,0.11204
-0.48542,0.22045,-0.21831
0.20814,-1.1346,-0.46807
-0.95737,-0.065932,0.49886
0.20721,-0.7752,-0.48142
0.77159,0.33439,0.47036
0.82676,-0.027157,-0.48277
-0.53882,-0.91235,0.5008
1.4104,0.46156,-0.11477
-0.85891,0.19686,-0.48031
-1.0884,-0.49197,0.4517
0.98194,1.1024,-0.071204
0.85081,-1.1994,-0.18609
0.58068,-1.2578,-0.31028
-1.0307,0.71634,0.42277
0.34826,0.40046,0.14446
0.5936,0.38546,0.39153
0.14148,-0.84083,0.46279
0.82308,1.2316,0.12871
0.16673,0.49875,0.12033
1.195,0.27205,0.44793
0.21249,0.44746,-0.059962
0.86964,0.035326,-0.50004
0.1093,0.66748,0.39196
-0.81061,0.24827,0.46894
-1.4089,0.31813,-0.237
-0.75657,-1.2903,0.021081
-0.42225,0.75596,-0.47282
0.33819,-0.35865,-0.095377
1.2114,0.89452,0.14492
0.14806,0.91682,0.4832
-0.42559,1.4574,0.040808
-0.74188,1.185,0.30441
-0.5181,0.1272,0.12442
1.1484,0.16574,-0.49679
-1.213,0.90916,-0.063774
-0.5177,-0.069421,-0.10487
0.45197,0.42409,0.32304
-1.3474,-0.24287,-0.32303
0.39249,0.51402,-0.36131
-0.23193,0.58594,-0.33243
-0.4282,-0.87517,-0.50018
0.60986,0.016159,0.30833
1.4273,0.26642,0.23724
1.1992,0.039781,0.4766
0.2899,0.47228,0.22172
0.42277,0.318,-0.18346
0.39817,1.3368,0.30998
0.42266,0.30341,0.054798
